subject,path,file_count,status
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all-rews-split_buttons_pt01.feat,1913,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all-rews-split_buttons_pt01+.feat,1913,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all-rews-split_buttons_pt02.feat,1911,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_all-rews-split_buttons_pt02+.feat,1911,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_split-buttons_pt01++.feat,1609,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_split-buttons_pt01+.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_split-buttons_pt02++.feat,1607,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_states_split-buttons_pt01++.feat,1761,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_states_split-buttons_pt02++.feat,1759,worked
sub-04,/home/fs0/xpsy1114/scratch/data/derivatives/sub-04/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all-rews-split_buttons_pt01.feat,35,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all-rews-split_buttons_pt01+.feat,35,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all-rews-split_buttons_pt02.feat,2005,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_all-rews-split_buttons_pt02+.feat,2005,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_split-buttons_pt01++.feat,35,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_split-buttons_pt01+.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_split-buttons_pt02++.feat,1701,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_states_split-buttons_pt01++.feat,35,worked
sub-05,/home/fs0/xpsy1114/scratch/data/derivatives/sub-05/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
