Thu Apr  6 11:25:21 2023    ./profile

         260722 function calls (256219 primitive calls) in 11.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/range.py:844(delete)
       38    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6075(get_indexer_for)
     1152    0.001    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/shape_base.py:512(expand_dims)
       44    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:4152(_iset_item)
       22    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:3571(difference)
       52    0.000    0.000    0.002    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:648(_get_concat_axis)
      376    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(roll)
       52    0.000    0.000    0.002    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:638(_get_comb_axis)
       87    0.000    0.000    0.002    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:709(_with_infer)
       52    0.000    0.000    0.002    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/api.py:78(get_objs_combined_axis)
       52    0.000    0.000    0.002    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:708(_concat_indexes)
      238    0.002    0.000    0.002    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5904(__setattr__)
       52    0.000    0.000    0.002    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:5420(append)
