Thu Apr  6 13:17:00 2023    ./profile_1

         360361 function calls (353498 primitive calls) in 6.524 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      224    0.000    0.000    0.017    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/array_algos/take.py:57(take_nd)
      120    0.000    0.000    0.016    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:861(take_nd)
      224    0.001    0.000    0.016    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
       82    0.000    0.000    0.016    0.000 <__array_function__ internals>:177(vstack)
       80    0.000    0.000    0.016    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:4889(_sanitize_column)
       82    0.000    0.000    0.016    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/shape_base.py:222(vstack)
      102    0.000    0.000    0.014    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:108(isna)
      102    0.000    0.000    0.014    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:191(_isna)
       40    0.014    0.000    0.014    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
       66    0.014    0.000    0.014    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:268(_isna_array)
       80    0.000    0.000    0.013    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:12009(_reindex_for_setitem)
       80    0.000    0.000    0.013    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/series.py:5077(reindex)
       80    0.000    0.000    0.013    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5044(reindex)
     3187    0.003    0.000    0.013    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1156(choose_conv_method)
      120    0.000    0.000    0.011    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1059(__getitem__)
       72    0.000    0.000    0.011    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6075(get_indexer_for)
       80    0.000    0.000    0.011    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5293(_reindex_axes)
       70    0.001    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:389(__init__)
       40    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/range.py:844(delete)
       40    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:3571(difference)
      120    0.000    0.000    0.010    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1561(_getitem_tuple)
     1371    0.009    0.000    0.009    0.000 {built-in method builtins.sum}
       70    0.000    0.000    0.009    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:631(_get_new_axes)
       70    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:633(<listcomp>)
      207    0.006    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/range.py:398(_get_indexer)
       36    0.000    0.000    0.008    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/range.py:741(_difference)
31056/30359    0.004    0.000    0.008    0.000 {built-in method builtins.isinstance}
      287    0.007    0.000    0.007    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      288    0.000    0.000    0.007    0.000 <__array_function__ internals>:177(kron)
      288    0.002    0.000    0.007    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/shape_base.py:1073(kron)
     3187    0.001    0.000    0.007    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1054(_fftconv_faster)
       22    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:6258(copy)
       22    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:618(copy)
      139    0.001    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:709(_with_infer)
        2    0.001    0.000    0.006    0.003 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/stats/_stats_py.py:5154(count_rank_tie)
      120    0.000    0.000    0.006    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1592(_getitem_axis)
       80    0.000    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5332(_reindex_with_indexers)
       80    0.000    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:4361(reindex)
     3187    0.004    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/scipy/signal/_signaltools.py:1011(_conv_ops)
       32    0.000    0.000    0.005    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:3626(_difference)
        2    0.000    0.000    0.005    0.002 <__array_function__ internals>:177(bincount)
      286    0.001    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:608(__init__)
      639    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:7320(ensure_index)
       70    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:648(_get_concat_axis)
      120    0.001    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:931(_getitem_lowerdim)
       70    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:638(_get_comb_axis)
     1152    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(expand_dims)
       70    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/reshape/concat.py:708(_concat_indexes)
       70    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:5420(append)
       70    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/api.py:78(get_objs_combined_axis)
      283    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6328(_should_compare)
       70    0.000    0.000    0.004    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/api.py:122(_get_combined_index)
45792/42494    0.003    0.000    0.004    0.000 {built-in method builtins.len}
      151    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(broadcast_to)
     7080    0.001    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:45(_instancecheck)
     1152    0.001    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/shape_base.py:512(expand_dims)
      139    0.001    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:431(__new__)
      396    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(roll)
      198    0.000    0.000    0.003    0.000 {method 'any' of 'numpy.ndarray' objects}
      215    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6619(_maybe_cast_listlike_indexer)
      608    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/_config/config.py:262(__call__)
      144    0.000    0.000    0.003    0.000 {built-in method builtins.sorted}
       40    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:911(_getitem_tuple_same_dim)
       57    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:5450(_concat)
       80    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:4130(_iset_item_mgr)
      199    0.000    0.000    0.003    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/_methods.py:54(_any)
