rank,vec_index,row,col,label_row,label_col,contribution
71,1755,26,53,"B1_forw_B_path with B2_backw_B_path","D1_backw_C_reward with D2_forw_C_reward",1.9925139181837324
72,3136,72,77,"E1_forw_A_path with E2_backw_A_path","E1_forw_C_reward with E2_backw_C_reward",1.9884893469562916
73,2806,52,77,"D1_backw_C_path with D2_forw_C_path","E1_forw_C_reward with E2_backw_C_reward",1.955114124106904
74,586,7,62,"A1_backw_D_reward with A2_forw_D_reward","D1_forw_D_path with D2_backw_D_path",1.9473760288109052
75,2269,37,50,"C1_backw_C_reward with C2_forw_C_reward","D1_backw_B_path with D2_forw_B_path",1.9221759111132557
76,1060,14,60,"A1_forw_D_path with A2_backw_D_path","D1_forw_C_path with D2_backw_C_path",1.9218431590591907
77,882,12,13,"A1_forw_C_path with A2_backw_C_path","A1_forw_C_reward with A2_backw_C_reward",1.9208311420205393
78,2596,45,77,"C1_forw_C_reward with C2_backw_C_reward","E1_forw_C_reward with E2_backw_C_reward",1.896522954253921
79,720,9,55,"A1_forw_A_reward with A2_backw_A_reward","D1_backw_D_reward with D2_forw_D_reward",1.8957019966942197
80,1153,16,26,"B1_backw_A_path with B2_forw_A_path","B1_forw_B_path with B2_backw_B_path",1.8883338694653287
81,387,5,8,"A1_backw_C_reward with A2_forw_C_reward","A1_forw_A_path with A2_backw_A_path",1.8867555578985489
82,2943,58,73,"D1_forw_B_path with D2_backw_B_path","E1_forw_A_reward with E2_backw_A_reward",1.8863781222575438
83,239,3,9,"A1_backw_B_reward with A2_forw_B_reward","A1_forw_A_reward with A2_backw_A_reward",1.879553526032331
84,2000,31,48,"B1_forw_D_reward with B2_backw_D_reward","D1_backw_A_path with D2_forw_A_path",1.8626450753657307
85,1254,17,65,"B1_backw_A_reward with B2_forw_A_reward","E1_backw_A_reward with E2_forw_A_reward",1.812487254946204
86,1135,15,71,"A1_forw_D_reward with A2_backw_D_reward","E1_backw_D_reward with E2_forw_D_reward",1.803132693236649
87,155,1,78,"A1_backw_A_reward with A2_forw_A_reward","E1_forw_D_path with E2_backw_D_path",1.788327126018723
88,939,12,70,"A1_forw_C_path with A2_backw_C_path","E1_backw_D_path with E2_forw_D_path",1.7773231286253828
89,2122,33,77,"C1_backw_A_reward with C2_forw_A_reward","E1_forw_C_reward with E2_backw_C_reward",1.764954549378908
90,2214,36,37,"C1_backw_C_path with C2_forw_C_path","C1_backw_C_reward with C2_forw_C_reward",1.7545706658062972
91,439,5,60,"A1_backw_C_reward with A2_forw_C_reward","D1_forw_C_path with D2_backw_C_path",1.7444889074552177
92,1224,17,35,"B1_backw_A_reward with B2_forw_A_reward","C1_backw_B_reward with C2_forw_B_reward",1.7165350921074465
93,1123,15,59,"A1_forw_D_reward with A2_backw_D_reward","D1_forw_B_reward with D2_backw_B_reward",1.7017398494392724
94,2118,33,73,"C1_backw_A_reward with C2_forw_A_reward","E1_forw_A_reward with E2_backw_A_reward",1.7012159349923073
95,3002,61,75,"D1_forw_C_reward with D2_backw_C_reward","E1_forw_B_reward with E2_backw_B_reward",1.69815248349729
96,494,6,42,"A1_backw_D_path with A2_forw_D_path","C1_forw_B_path with C2_backw_B_path",1.69523596824461
97,643,8,48,"A1_forw_A_path with A2_backw_A_path","D1_backw_A_path with D2_forw_A_path",1.6929553021814134
98,1278,18,28,"B1_backw_B_path with B2_forw_B_path","B1_forw_C_path with B2_backw_C_path",1.6787312862043247
99,1054,14,54,"A1_forw_D_path with A2_backw_D_path","D1_backw_D_path with D2_forw_D_path",1.677568033652863
100,2725,50,51,"D1_backw_B_path with D2_forw_B_path","D1_backw_B_reward with D2_forw_B_reward",1.6738243642269233
